Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
223.4549322489072	223.52435222146408	3.2023879118644173e-65	13.5097059045191	1146.16551976	45884.02025736	A	X	e	0	37	37	Pi	e	6	38	38	R(37)
223.45866669281287	223.52808746118072	9.76254360778608e-46	13.0105716914016	377.20494504	45114.312096	A	X	e	0	21	21	Pi	e	6	20	20	P(21)
223.46256942895207	223.53199102900948	1.5218603560002467e-53	26.6702746792894	662.58543904	45398.91134016	A	X	e	0	28	28	Pi	f	6	28	28	Q(28)
223.48209531585212	223.55152107719536	2.499388763081871e-66	13.5003976375411	1207.96948584	45940.387104	A	X	e	0	38	38	Pi	e	6	39	39	R(38)
223.48551692516335	223.55494341574823	1.0879382614968088e-46	13.0210064426357	413.09939176	45144.83221416	A	X	e	0	22	22	Pi	e	6	21	21	P(22)
223.4885464666761	223.55797360295193	1.3188738306467802e-54	26.6609766635973	709.845354	45440.971866	A	X	e	0	29	29	Pi	f	6	29	29	Q(29)
223.5102072058657	223.5796389590058	1.804398800524577e-67	13.4911395388126	1271.383776	45998.175744	A	X	e	0	39	39	Pi	e	6	40	40	R(39)
223.5132718079238	223.58270421430572	1.241426397166976e-47	13.0299305567662	450.61985664	45176.79863304	A	X	e	0	23	23	Pi	e	6	22	22	P(23)
223.5154440197276	223.58487688913792	1.094102197271717e-55	26.6513537196134	758.725434	45484.469586	A	X	e	0	30	30	Pi	f	6	30	30	Q(30)
223.53927128875017	223.608709237498	1.1754670021317406e-68	13.4819155328032	1336.407136	46057.38439176	A	X	e	0	40	40	Pi	e	6	41	41	R(40)
223.54193322448145	223.6113717407193	1.3774350074505142e-48	13.0375164262558	489.7656	45210.21037056	A	X	e	0	24	24	Pi	e	6	23	23	P(24)
223.54326462225103	223.61270342232837	8.063487506626826e-57	26.6414054141161	809.22471424	45529.40316096	A	X	e	0	31	31	Pi	f	6	31	31	Q(31)
223.56929102394875	223.63873537293776	7.27204009483547e-70	13.4727110177525	1403.03827944	46118.01121704	A	X	e	0	41	41	Pi	e	6	42	42	R(41)
223.5715031440803	223.64094796473267	1.3839083170643933e-49	13.0439082750768	530.53585	45245.0664	A	X	e	0	25	25	Pi	e	6	24	24	P(25)
223.57201089566055	223.64145582457527	6.437638404979369e-58	26.631131300243	861.34219776	45575.77120704	A	X	e	0	32	32	Pi	f	6	32	32	Q(32)
223.60026996090664	223.66972091561536	5.692869004150115e-71	13.4635126955865	1471.27588776	46180.05434496	A	X	e	0	42	42	Pi	e	6	43	43	R(42)
223.60168554892056	223.6711368055025	5.453306293311574e-59	26.6205309175702	915.07685544	45623.57229576	A	X	e	0	33	33	Pi	f	6	33	33	Q(33)
223.60198362204704	223.67143494219317	1.19972212115724e-50	13.0492276805869	572.92980264	45281.36565	A	X	e	0	26	26	Pi	e	6	25	25	P(26)
223.63221173944385	223.70166950621814	2.4892880322981456e-72	13.4543084247775	1541.11861024	46243.511856	A	X	e	0	43	43	Pi	e	6	44	44	R(43)
223.63229137883667	223.70174916259657	4.084140241685275e-60	26.6096037921945	970.427626	45672.804954	A	X	e	0	34	34	Pi	f	6	34	34	Q(34)
223.6333768000267	223.70283481528756	9.78665605493838e-52	13.053577845176	616.94662176	45319.10700456	A	X	e	0	27	27	Pi	e	6	26	26	P(27)
223.66383127035624	223.73329578150737	2.083775198804958e-61	26.5983494368176	1027.393416	45723.467664	A	X	e	0	35	35	Pi	f	6	35	35	Q(35)
223.66512009013832	223.73458487621372	1.4865454919621847e-73	13.4450870926136	1612.565064	46308.381786	A	X	e	0	44	44	Pi	e	6	45	45	R(44)
223.6656849062273	223.73514981278691	8.227205833283485e-53	13.0570469359253	662.58543904	45358.28930304	A	X	e	0	28	28	Pi	e	6	27	27	P(28)
223.69630819687927	223.76577963635938	1.3921868665784114e-62	26.5867673508337	1085.97309984	45775.55886336	A	X	e	0	36	36	Pi	f	6	36	36	Q(36)
223.69891025567517	223.76838225030156	7.444265210051645e-54	13.0597107211897	709.845354	45398.91134016	A	X	e	0	29	29	Pi	e	6	28	28	P(29)
223.6989988347199	223.76847084824462	1.1729601155395867e-74	13.4358385039594	1685.613834	46374.66212616	A	X	e	0	45	45	Pi	e	6	46	46	R(45)
223.72972522057958	223.79920379007257	9.994917208366978e-64	26.5748570204191	1146.16551976	45829.07694504	A	X	e	0	37	37	Pi	f	6	37	37	Q(37)
223.73305525047823	223.802534530545	6.45431106887865e-55	13.0616346709326	758.725434	45440.971866	A	X	e	0	30	30	Pi	e	6	29	29	P(30)
223.7338518864765	223.80333133653392	6.443450304216946e-76	13.4265532840764	1760.26347304	46442.35082304	A	X	e	0	46	46	Pi	e	6	47	47	R(46)
223.764085492736	223.8335713946941	6.287797388491446e-65	26.5626179186253	1207.96948584	45884.02025736	A	X	e	0	38	38	Pi	f	6	38	38	Q(38)
223.76812238010075	223.83760914360818	5.356569891061756e-56	13.0628756438897	809.22471424	45484.469586	A	X	e	0	31	31	Pi	e	6	30	30	P(31)
223.7696832506706	223.83917034730231	2.832590069463642e-77	13.4172227934739	1836.51250176	46511.44577856	A	X	e	0	47	47	Pi	e	6	48	48	R(47)
223.7993922540748	223.86888569174033	4.908360805844925e-66	26.5500495054737	1271.383776	45940.387104	A	X	e	0	39	39	Pi	f	6	39	39	Q(39)
223.8041142216464	223.87360866724322	3.949283867523928e-57	13.0634832533756	861.34219776	45529.40316096	A	X	e	0	32	32	Pi	e	6	31	31	P(32)
223.80649702496817	223.8759919791968	1.8050826292110026e-78	13.4078390530901	1914.35940864	46581.94485	A	X	e	0	48	48	Pi	e	6	49	49	R(48)
223.83564883512136	223.9051500125492	3.5441032246645994e-67	26.5371512280543	1336.407136	45998.175744	A	X	e	0	40	40	Pi	f	6	40	40	Q(40)
223.8410334401524	223.91053576715703	3.1540917842217642e-58	13.06350098095	915.07685544	45575.77120704	A	X	e	0	33	33	Pi	e	6	32	32	P(33)
223.84429739987837	223.9138004237309	1.170105239451827e-79	13.398394678371	1993.80265	46653.84585	A	X	e	0	49	49	Pi	e	6	50	50	R(49)
223.87285865656366	223.94236777864336	2.3091334885477947e-68	26.523922520626	1403.03827944	46057.38439176	A	X	e	0	41	41	Pi	f	6	41	41	Q(41)
223.87888278889233	223.9483931973149	2.672680256316e-59	13.06296709063	970.427626	45623.57229576	A	X	e	0	34	34	Pi	e	6	33	33	P(34)
