obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"231.234"	"231.2344"	"1700"	"5.5e+08"	C	"1332.164"	"44565.037"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"3"		"T3861"	"L3475"	
"231.398"	"231.3983"	"1400"	"5.0e+08"	E	"2216.550"	"45418.804"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"2"		"T3861"	"L3475"	
"231.716"	"231.7165"	"1400"	"3.8e+08"	C	"1332.164"	"44475.099"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"2"		"T3861"	"L3475"	
"232.003"	"232.0034"	"2600"	"6.9e+08"	C	"0.000"	"43089.578"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"5"		"T3861"	"L3475"	
"232.138"	"232.1383"	"1900"	"5.6e+08"	E	"2216.550"	"45281.089"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"3"		"T3861"	"L3475"	
""	"232.4655"	""	"1.8e+07"	D	"1332.164"	"44336.10"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3P).4s.4p.(3P*)"	"*"	"4"		"T3861"	""	
"232.579"	"232.5801"	"1400"	"3.5e+08"	C	"1332.164"	"44314.904"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"4"		"T3861"	"L3475"	
"232.996"	"232.9971"	"940"	"5.3e+08"	C	"2216.550"	"45122.383"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"1"		"T3861"	"L3475"	
"234.554"	"234.5543"	"1200"	"2.2e+08"	C	"0.000"	"42620.994"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(1D).4s.4p.(3P*)"	"3D*"	"3"		"T3861"	"L3475"	
"234.663"	"234.6631"	"190"	"5.5e+07"	D	"1332.164"	"43933.408"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(1D).4s.4p.(3P*)"	"3P*"	"2"		"T3861"	"L3475"	
"234.752"	"234.7514"	"400"	"2.2e+07"	D	"0.000"	"42585.212"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(1D).4s.4p.(3P*)"	"3F*"	"4"		"T3861"	"L3475"	
""	"234.8736"	""	"2.2e+07"	E	"204.787"	"42767.853"	"3d9.(2D).4s"	"3D"	"3"	"3d8.(1D).4s.4p.(3P*)"	"3F*"	"3"		"T3861"	""	
"241.931"	"241.9313"	"240"	"2.0e+07"	E	"1332.164"	"42653.661"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(1D).4s.4p.(3P*)"	"3D*"	"2"		"T3861"	"L3475"	
"247.687"	"247.6876"	"85"	"2.6e+06"	C	"0.000"	"40361.249"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3P).4s.4p.(3P*)"	"5P*"	"3"		"T3861"	"L3475"	
""	"254.0022"	""	"2.6e+06"	D	"3409.937"	"42767.853"	"3d9.(2D).4s"	"1D"	"2"	"3d8.(1D).4s.4p.(3P*)"	"3F*"	"3"		"T3861"	""	
""	"255.3379"	""	"6.0e+05"	D	"1332.164"	"40484.212"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3P).4s.4p.(3P*)"	"5P*"	"2"		"T3861"	""	
