State	Vibr.	J	Energy	Index
Pi	2	30	41593.604525	585
Pi	2	31	41640.774528	586
Pi	1	48	41658.76528512	587
Pi	2	32	41689.452032	588
Pi	1	49	41733.7667	589
Pi	2	33	41739.635693	590
Pi	2	34	41791.324125	591
Pi	1	50	41810.2647	592
Pi	2	35	41844.5159	593
Pi	2	36	41899.209548	594
Pi	3	1	41901.83931288	595
Pi	3	2	41904.85789592	596
Pi	3	3	41909.38566368	597
Pi	3	4	41915.422488	598
Pi	3	5	41922.968198	599
Pi	3	6	41932.02258008	600
Pi	3	7	41942.58537792	601
Pi	3	8	41954.65629248	602
Pi	2	37	41955.403557	603
Pi	3	9	41968.234982	604
Pi	3	10	41983.321062	605
Pi	3	11	41999.91410528	606
Pi	2	38	42013.096373	607
Pi	3	12	42018.01364192	608
Pi	3	13	42037.61915928	609
Pi	3	14	42058.730102	610
Pi	2	39	42072.2864	611
Pi	3	15	42081.345872	612
Pi	3	16	42105.46582848	613
Pi	3	17	42131.08928792	614
Pi	2	40	42132.972	615
Pi	3	18	42158.21552408	616
Pi	3	19	42186.843768	617
Pi	2	41	42195.151493	618
Pi	3	20	42216.973208	619
Pi	3	21	42248.60298968	620
Pi	2	42	42258.823157	621
Pi	3	22	42281.73221592	622
Pi	3	23	42316.35994688	623
Pi	2	43	42323.985228	624
Pi	3	24	42352.4852	625
Pi	3	25	42390.10695	626
Pi	2	44	42390.6359	627
Pi	3	26	42429.22412888	628
Pi	2	45	42458.773325	629
Pi	3	27	42469.83562592	630
Pi	3	28	42511.94028768	631
Pi	2	46	42528.395613	632
Pi	3	29	42555.536918	633
Pi	2	47	42599.500832	634
Pi	3	30	42600.624278	635
Pi	3	31	42647.20108608	636
Pi	2	48	42672.087008	637
Pi	3	32	42695.26601792	638
Pi	3	33	42744.81770648	639
Pi	2	49	42746.152125	640
Pi	3	34	42795.854742	641
Pi	2	50	42821.694125	642
Pi	3	35	42848.375672	643
Pi	4	1	42891.7027328	644
Pi	4	2	42894.6881552	645
Pi	4	3	42899.1661808	646
Pi	3	36	42902.37900128	647
Pi	4	4	42905.13668	648
Pi	4	5	42912.59948	649
Pi	4	6	42921.5543648	650
Pi	4	7	42932.0010752	651
Pi	4	8	42943.9393088	652
Pi	4	9	42957.36872	653
Pi	3	37	42957.86319192	654
Pi	4	10	42972.28892	655
Pi	4	11	42988.6994768	656
Pi	4	12	43006.5999152	657
Pi	3	38	43014.82666328	658
Pi	4	13	43025.9897168	659
Pi	4	14	43046.86832	660
Pi	4	15	43069.23512	661
Pi	3	39	43073.267792	662
Pi	4	16	43093.0894688	663
Pi	4	17	43118.4306752	664
Pi	3	40	43133.184912	665
Pi	4	18	43145.2580048	666
Pi	4	19	43173.57068	667
Pi	3	41	43194.57631448	668
Pi	4	20	43203.36788	669
Pi	4	21	43234.6487408	670
Pi	3	42	43257.44024792	671
Pi	4	22	43267.4123552	672
Pi	4	23	43301.6577728	673
Pi	3	43	43321.77491808	674
Pi	4	24	43337.384	675
Pi	4	25	43374.59	676
Pi	3	44	43387.578488	677
Pi	4	26	43413.2746928	678
Pi	4	27	43453.4369552	679
Pi	3	45	43454.849078	680
Pi	4	28	43495.0756208	681
Pi	3	46	43523.58476568	682
Pi	4	29	43538.18948	683
Pi	4	30	43582.77728	684
Pi	3	47	43593.78358592	685
Pi	4	31	43628.8377248	686
Pi	3	48	43665.44353088	687
Pi	4	32	43676.3694752	688
Pi	4	33	43725.3711488	689
Pi	3	49	43738.56255	690
Pi	4	34	43775.84132	691
Pi	3	50	43813.13855	692
Pi	4	35	43827.77852	693
Pi	5	1	43862.58395268	694
Pi	5	2	43865.53181412	695
Pi	5	3	43869.95349648	696
Pi	5	4	43875.848868	697
Pi	4	36	43881.1812368	698
Pi	5	5	43883.217753	699
Pi	5	6	43892.05993188	700
Pi	5	7	43902.37514112	701
Pi	5	8	43914.16307328	702
Pi	5	9	43927.423377	703
Pi	4	37	43936.0479152	704
Pi	5	10	43942.155657	705
Pi	5	11	43958.35947408	706
Pi	5	12	43976.03434512	707
Pi	4	38	43992.3769568	708
Pi	5	13	43995.17974308	709
Pi	5	14	44015.795097	710
Pi	5	15	44037.879792	711
Pi	4	39	44050.16672	712
Pi	5	16	44061.43316928	713
Pi	5	17	44086.45452612	714
Pi	4	40	44109.41552	715
Pi	5	18	44112.94311588	716
Pi	5	19	44140.898148	717
Pi	4	41	44170.1216288	718
Pi	5	20	44170.318788	719
Pi	5	21	44201.20415748	720
Pi	4	42	44232.2832752	721
Pi	5	22	44233.55333412	722
Pi	5	23	44267.36535168	723
Pi	4	43	44295.8986448	724
Pi	5	24	44302.6392	725
Pi	5	25	44339.373825	726
Pi	4	44	44360.96588	727
Pi	5	26	44377.56812868	728
Pi	5	27	44417.22096912	729
Pi	4	45	44427.48308	730
Pi	5	28	44458.33116048	731
Pi	4	46	44495.4483008	732
Pi	5	29	44500.897473	733
Pi	5	30	44544.918633	734
Pi	4	47	44564.8595552	735
Pi	5	31	44590.39332288	736
Pi	4	48	44635.7148128	737
Pi	5	32	44637.32018112	738
Pi	5	33	44685.69780228	739
Pi	4	49	44708.012	740
Pi	5	34	44735.524737	741
Pi	4	50	44781.749	742
Pi	5	35	44786.799492	743
Pi	6	1	44810.20661256	744
Pi	6	2	44813.11979304	745
Pi	6	3	44817.48945216	746
Pi	6	4	44823.315456	747
Pi	6	5	44830.597626	748
Pi	6	6	44839.33573896	749
Pi	5	36	44839.52053008	750
