State	Vibr.	J	Energy	Index
Pi	5	8.5	27995.7123689031	1236
Pi	5	8.5	27995.846242595	1237
Pi	5	12.5	27997.5059887249	1238
Pi	5	12.5	27997.5227518612	1239
Pi	5	9.5	28024.1826171928	1240
Pi	5	9.5	28024.3299138515	1241
Pi	5	13.5	28037.0218899067	1246
Pi	5	13.5	28037.0426731937	1247
Pi	5	10.5	28055.6427088569	1248
Pi	5	10.5	28055.8029919286	1249
Pi	5	14.5	28079.4575786028	1252
Pi	5	14.5	28079.4829376026	1253
Pi	5	11.5	28090.0903198464	1254
Pi	5	11.5	28090.2631193226	1255
Pi	5	15.5	28124.8114048826	1258
Pi	5	15.5	28124.8419187008	1259
Pi	5	12.5	28127.5229212751	1260
Pi	5	12.5	28127.7077361388	1261
Pi	5	13.5	28167.9377836933	1266
Pi	5	13.5	28168.1340844063	1267
Pi	5	16.5	28173.0815777628	1268
Pi	5	16.5	28173.1178466126	1269
Pi	5	14.5	28211.3319813972	1273
Pi	5	14.5	28211.5392123974	1274
Pi	5	17.5	28224.2661611047	1276
Pi	5	17.5	28224.3088039356	1277
Pi	5	15.5	28257.7023967174	1280
Pi	5	15.5	28257.9199788992	1281
Pi	5	18.5	28278.3630696654	1282
Pi	5	18.5	28278.4127218777	1283
Pi	5	16.5	28307.0457242372	1288
Pi	5	16.5	28307.2730573874	1289
Pi	5	19.5	28335.3700653352	1290
Pi	5	19.5	28335.427376594	1291
Pi	5	17.5	28359.3584748953	1296
Pi	5	17.5	28359.5949400644	1297
Pi	5	20.5	28395.284753586	1298
Pi	5	20.5	28395.3503857491	1299
Pi	5	18.5	28414.6369799346	1302
Pi	5	18.5	28414.8819417223	1303
Pi	5	19.5	28472.8773946648	1310
Pi	5	19.5	28473.130203406	1311
