State	Vibr.	J	Energy	Index
Pi	5	5.5	27928.4776405344	1223
Pi	5	6.5	27947.8751695407	1228
Pi	5	6.5	27947.9810332079	1229
Pi	5	7.5	27970.3595990206	1232
Pi	5	7.5	27970.4796490183	1233
Pi	5	8.5	27995.8378889031	1236
Pi	5	8.5	27995.971762595	1237
Pi	5	9.5	28024.3081371928	1240
Pi	5	9.5	28024.4554338515	1241
Pi	6	1.5	29157.4395160593	1378
Pi	6	1.5	29157.439547954	1379
Pi	6	2.5	29164.6667324053	1380
Pi	6	2.5	29164.6668597309	1381
Pi	6	3.5	29174.7844785227	1382
Pi	6	3.5	29174.7847959549	1383
Pi	6	4.5	29187.7924082674	1386
Pi	6	4.5	29187.7930408813	1387
Pi	6	5.5	29203.6900780065	1388
Pi	6	5.5	29203.6911803128	1389
Pi	6	6.5	29222.4769442539	1392
Pi	6	6.5	29222.4786990295	1393
Pi	6	7.5	29244.1523608474	1396
Pi	6	7.5	29244.1549777828	1397
Pi	6	8.5	29268.7155757207	1400
Pi	6	8.5	29268.7192899082	1401
Pi	6	0.5	29276.38307304	1402
Pi	6	0.5	29276.40822304	1403
Pi	6	1.5	29280.8129113407	1404
Pi	6	1.5	29280.863179446	1405
Pi	6	2.5	29288.2039963947	1406
Pi	6	2.5	29288.2793190691	1407
Pi	6	9.5	29296.1657273282	1408
Pi	6	9.5	29296.1707976185	1409
Pi	6	3.5	29298.5557699173	1410
Pi	6	3.5	29298.6560524851	1411
Pi	6	4.5	29311.8674457326	1416
Pi	6	4.5	29311.9925631187	1417
Pi	6	10.5	29326.5018407883	1418
Pi	6	10.5	29326.5085480414	1419
Pi	6	5.5	29328.1380116335	1420
Pi	6	5.5	29328.2878093272	1421
Pi	6	6.5	29347.3662317461	1424
Pi	6	6.5	29347.5405269705	1425
Pi	6	7.5	29369.5506493526	1430
Pi	6	7.5	29369.7492324172	1431
Pi	6	8.5	29394.6895901193	1432
Pi	6	8.5	29394.9122259318	1433
Pi	6	9.5	29422.7811656718	1438
Pi	6	9.5	29423.0275953815	1439
B	0	0.5	45633.63829	1686
B	0	0.5	45637.18628008	1687
B	0	1.5	45637.21823008	1688
B	0	1.5	45644.31401872	1689
B	0	2.5	45644.36726872	1690
B	0	2.5	45655.01047288	1691
B	0	3.5	45655.08502288	1692
B	0	3.5	45669.275068	1693
B	0	4.5	45669.370918	1694
B	0	4.5	45687.107038	1695
B	0	5.5	45687.224188	1696
B	0	5.5	45708.50542528	1697
B	0	6.5	45708.64387528	1698
B	0	6.5	45733.46908072	1699
B	0	7.5	45733.62883072	1700
B	0	7.5	45761.99666368	1701
B	0	8.5	45762.17771368	1702
B	0	8.5	45794.086642	1703
B	0	9.5	45794.288992	1704
B	0	9.5	45829.737292	1705
B	0	10.5	45829.960942	1706
B	1	0.5	47313.00436	1747
B	1	0.5	47316.4928054	1748
B	1	1.5	47316.5238554	1749
B	1	1.5	47323.5005506	1750
B	1	2.5	47323.5523006	1751
B	1	2.5	47334.0168544	1752
B	1	3.5	47334.0893044	1753
B	1	3.5	47348.04113	1754
B	1	4.5	47348.13428	1755
B	1	4.5	47365.572595	1756
B	1	5.5	47365.686445	1757
B	1	5.5	47386.6102714	1758
B	1	6.5	47386.7448214	1759
B	1	6.5	47411.1529856	1762
B	1	7.5	47411.3082356	1763
B	1	7.5	47439.1993684	1764
B	1	8.5	47439.3753184	1765
B	1	8.5	47470.747855	1766
B	1	9.5	47470.944505	1767
B	1	9.5	47505.796685	1768
B	1	10.5	47506.014035	1769
B	2	0.5	48939.38234	1832
B	2	0.5	48942.81137032	1833
B	2	1.5	48942.84047032	1834
B	2	1.5	48949.69832888	1835
B	2	2.5	48949.74682888	1836
B	2	2.5	48960.03311152	1837
B	2	3.5	48960.10101152	1838
B	2	3.5	48973.815112	1839
B	2	4.5	48973.902412	1840
B	2	4.5	48991.043522	1843
B	2	5.5	48991.150222	1844
B	2	5.5	49011.71733112	1845
B	2	6.5	49011.84343112	1846
B	2	6.5	49035.83532688	1847
B	2	7.5	49035.98082688	1848
B	2	7.5	49063.39609472	1851
B	2	8.5	49063.56099472	1852
B	2	8.5	49094.398018	1853
B	2	9.5	49094.582318	1854
B	2	9.5	49128.839278	1855
B	2	10.5	49129.042978	1856
