State	Vibr.	J	Energy	Index
Pi	1	7.5	22104.5917320568	464
Pi	1	7.5	22104.6885171131	465
Pi	1	8.5	22131.4165236805	466
Pi	1	8.5	22131.5243210525	467
Pi	1	9.5	22161.3912947501	472
Pi	1	9.5	22161.5097377271	473
Pi	2	1.5	23392.665272792	588
Pi	2	1.5	23392.665319027	589
Pi	2	2.5	23400.2733437065	592
Pi	2	2.5	23400.2735283235	593
Pi	2	3.5	23410.924314262	594
Pi	2	3.5	23410.9247746795	595
Pi	2	4.5	23424.6178716778	598
Pi	2	4.5	23424.6187896426	599
Pi	2	5.5	23441.3536166465	600
Pi	2	5.5	23441.3552170044	601
Pi	2	6.5	23461.1310605038	604
Pi	2	6.5	23461.1336097094	605
Pi	2	7.5	23483.9496218545	607
Pi	2	7.5	23483.9534262475	608
Pi	2	8.5	23509.8086227215	610
Pi	2	8.5	23509.8140266015	611
Pi	2	0.5	23513.07040428	613
Pi	2	0.5	23513.08222428	614
Pi	2	1.5	23517.743728208	616
Pi	2	1.5	23517.7673219729	617
Pi	2	2.5	23525.5361780935	618
Pi	2	2.5	23525.5714534765	619
Pi	2	3.5	23536.447186818	622
Pi	2	3.5	23536.4940064005	623
Pi	2	9.5	23538.7072842929	624
Pi	2	9.5	23538.7146678258	625
Pi	2	4.5	23550.4759533222	626
Pi	2	4.5	23550.5341353574	627
Pi	2	5.5	23567.6214448335	630
Pi	2	5.5	23567.6907644756	631
Pi	2	10.5	23570.6447223453	632
Pi	2	10.5	23570.6544993368	633
Pi	2	6.5	23587.8823996962	634
Pi	2	6.5	23587.9625904906	635
Pi	2	7.5	23611.2573307455	638
Pi	2	7.5	23611.3480863525	639
Pi	2	8.5	23637.7445291585	644
Pi	2	8.5	23637.8455052785	645
Pi	2	9.5	23667.3420687071	650
Pi	2	9.5	23667.4528851742	651
Pi	3	1.5	24873.8101238294	786
Pi	3	1.5	24873.8101652294	787
Pi	3	2.5	24881.3233447568	788
Pi	3	2.5	24881.3235100756	789
Pi	3	3.5	24891.8415193602	790
Pi	3	3.5	24891.8419316782	791
Pi	3	4.5	24905.3643271012	794
Pi	3	4.5	24905.3651492392	795
Pi	3	5.5	24921.8913582365	798
Pi	3	5.5	24921.8927916847	799
Pi	3	6.5	24941.4221111646	802
Pi	3	6.5	24941.4243947835	803
Pi	3	7.5	24963.9559892639	804
Pi	3	7.5	24963.9593977805	805
Pi	3	8.5	24989.4922972817	808
Pi	3	8.5	24989.4971396077	809
Pi	3	0.5	24994.17195256	810
Pi	3	0.5	24994.18221056	811
Pi	3	1.5	24998.7863337706	812
Pi	3	1.5	24998.8068083706	813
Pi	3	2.5	25006.4800284432	816
Pi	3	2.5	25006.5106371244	817
Pi	3	3.5	25017.2524767998	818
Pi	3	3.5	25017.2930964818	819
Pi	3	9.5	25018.030237344	820
Pi	3	9.5	25018.0368547449	821
Pi	3	4.5	25031.1028888988	824
Pi	3	4.5	25031.1533567608	825
Pi	3	5.5	25048.0302467235	828
Pi	3	5.5	25048.0903612753	829
Pi	3	10.5	25049.568904657	830
Pi	3	10.5	25049.5776688025	831
Pi	3	6.5	25068.0333068354	832
Pi	3	6.5	25068.1028292165	833
Pi	3	7.5	25091.1106035361	836
Pi	3	7.5	25091.1892590195	837
Pi	3	8.5	25117.2604524783	840
Pi	3	8.5	25117.3479321523	841
Pi	3	9.5	25146.480954656	848
Pi	3	9.5	25146.5769172551	849
Pi	4	1.5	26328.1276276459	984
Pi	4	1.5	26328.1276660752	985
Pi	4	2.5	26335.5462371725	986
Pi	4	2.5	26335.5463906416	987
Pi	4	3.5	26345.9319520884	988
Pi	4	3.5	26345.9323348967	989
Pi	4	4.5	26359.284447098	990
Pi	4	4.5	26359.2852105079	991
Pi	4	5.5	26375.6033061556	996
Pi	4	5.5	26375.6046374457	997
Pi	4	6.5	26394.8880199945	998
Pi	4	6.5	26394.8901413092	999
Pi	4	7.5	26417.1379831803	1002
Pi	4	7.5	26417.1411501972	1003
Pi	4	8.5	26442.3524907444	1004
Pi	4	8.5	26442.3569911818	1005
Pi	4	0.5	26448.55104184	1006
Pi	4	0.5	26448.55844784	1007
Pi	4	1.5	26453.1072297541	1010
Pi	4	1.5	26453.1220033248	1011
Pi	4	2.5	26460.7029916275	1012
Pi	4	2.5	26460.7250561584	1013
Pi	4	9.5	26470.5307344604	1016
Pi	4	9.5	26470.5368864499	1017
Pi	4	3.5	26471.3377791516	1018
Pi	4	3.5	26471.3670203433	1019
Pi	4	4.5	26485.010818902	1020
Pi	4	4.5	26485.0470854921	1021
Pi	4	10.5	26501.6717988287	1026
Pi	4	10.5	26501.6799491793	1027
Pi	4	5.5	26501.7211142844	1028
Pi	4	5.5	26501.7642189943	1029
Pi	4	6.5	26521.4674480055	1030
Pi	4	6.5	26521.5171686908	1031
Pi	4	7.5	26544.2483850197	1034
Pi	4	7.5	26544.3044660028	1035
Pi	4	8.5	26570.0622758956	1038
Pi	4	8.5	26570.1244294582	1039
Pi	4	9.5	26598.9072605396	1044
Pi	4	9.5	26598.9751685501	1045
Pi	5	1.5	27756.0059272803	1180
Pi	5	1.5	27756.005975823	1181
Pi	5	2.5	27763.3314130879	1184
Pi	5	2.5	27763.331606935	1185
Pi	5	3.5	27773.5867114355	1186
Pi	5	3.5	27773.5871949265	1187
Pi	5	4.5	27786.7714579323	1188
Pi	5	4.5	27786.7724220377	1189
Pi	5	5.5	27802.8851879787	1190
Pi	5	5.5	27802.8868690656	1191
Pi	5	6.5	27821.9273344593	1196
Pi	5	6.5	27821.9300127921	1197
Pi	5	7.5	27843.8972249794	1200
Pi	5	7.5	27843.9012229817	1201
Pi	5	8.5	27868.7940786969	1202
Pi	5	8.5	27868.7997590051	1203
Pi	5	0.5	27875.9184396	1204
Pi	5	0.5	27875.9339456	1205
Pi	5	1.5	27880.4121327197	1206
Pi	5	1.5	27880.443096177	1207
Pi	5	2.5	27887.9064349121	1208
Pi	5	2.5	27887.952759065	1209
Pi	5	9.5	27896.6170028072	1212
Pi	5	9.5	27896.6247661485	1213
Pi	5	3.5	27898.4007901645	1214
Pi	5	3.5	27898.4623306735	1215
Pi	5	4.5	27911.8944120677	1218
Pi	5	4.5	27911.9709779623	1219
Pi	5	10.5	27927.3649887431	1220
Pi	5	10.5	27927.3752716714	1221
Pi	5	5.5	27928.3862856213	1222
