Wavelength (air nm)	Wavelength (vac nm)	Gfactor (J / s / mol)	Einstein A Coeff. (1/s)	Lower level Energy (1/cm)	Upper level Energy (1/cm)	Accuracy	Lower Electronic State	Lower Spin State	Lower Vibrational State	Lower Rotational Quantum Number (N)	Lower Total Angular Momentum (J)	Upper Electronic State	Upper Spin State	Upper Vibrational State	Upper Rotational Quantum Number (N)	Upper Total Angular Momentum (J)	Band Label
204.52496592005735	204.59058678949552	2.0217744171702105e-26	2359518.68285545	216.293913	49094.398018	A	X	F2f	0	10	9.5	B	F2f	2	9	8.5	pP2(9.5)
211.21878001516652	211.28568195766925	2.2169734224848072e-25	6164183.34032794	141.66072512	47470.944505	A	X	F1e	0	8	8.5	B	F1e	1	9	9.5	rR1(8.5)
211.21921844867455	211.28612047768883	4.7749195648358025e-25	6123856.43035139	110.18976948	47439.3753184	A	X	F1e	0	7	7.5	B	F1e	1	8	8.5	rR1(7.5)
211.21931210681896	211.28621415431388	4.0226374327345145e-25	6123848.28506916	141.58329012	47470.747855	A	X	F2f	0	8	7.5	B	F2f	1	9	8.5	rR2(7.5)
211.2196577234634	211.2865598391556	2.646454675746311e-27	40288.2778126931	141.66072512	47470.747855	A	X	F1e	0	8	8.5	B	F2f	1	9	8.5	rQ21(8.5)
211.21969881261984	211.28660093641977	7.709376324192986e-25	6072782.86532222	110.12144448	47439.1993684	A	X	F2f	0	7	6.5	B	F2f	1	8	7.5	rR2(6.5)
211.2200037695402	211.2869059535146	6.478430089733245e-27	51031.5677736648	110.18976948	47439.1993684	A	X	F1e	0	7	7.5	B	F2f	1	8	7.5	rQ21(7.5)
211.22025673792115	211.28715897181158	1.7250661237826562e-25	6196668.11076364	177.061113	47506.014035	A	X	F1e	0	9	9.5	B	F1e	1	10	10.5	rR1(9.5)
211.2208405674607	211.28774291655375	3.3068838109329503e-25	6164002.96065717	176.974568	47505.796685	A	X	F2f	0	9	8.5	B	F2f	1	10	9.5	rR2(8.5)
211.22122685055015	211.2881292758657	1.7496611763299705e-27	32613.5933673053	177.061113	47505.796685	A	X	F1e	0	9	9.5	B	F2f	1	10	9.5	rQ21(9.5)
211.22156962098853	211.28847211394083	9.23169276395601e-25	6072621.52446853	82.64945952	47411.3082356	A	X	F1e	0	6	6.5	B	F1e	1	7	7.5	rR1(6.5)
211.22199826458368	211.28890084211773	1.3410500491941228e-24	6005852.86006826	82.59024452	47411.1529856	A	X	F2f	0	6	5.5	B	F2f	1	7	6.5	rR2(5.5)
211.22226256628346	211.28916519597072	1.4900481531139089e-26	66731.4479719779	82.64945952	47411.1529856	A	X	F1e	0	6	6.5	B	F2f	1	7	6.5	rQ21(6.5)
211.22583141446336	211.29273474838377	1.489619618543238e-24	6005525.93743452	59.040857	47386.7448214	A	X	F1e	0	5	5.5	B	F1e	1	6	6.5	rR1(5.5)
211.22620834224804	211.29311175054798	1.808613904022062e-24	5914501.46103596	58.990752	47386.6102714	A	X	F2f	0	5	4.5	B	F2f	1	6	5.5	rR2(4.5)
211.2264319910174	211.29333544345033	2.7824711462012774e-26	90992.0411736806	59.040857	47386.6102714	A	X	F1e	0	5	5.5	B	F2f	1	6	5.5	rQ21(5.5)
211.23200201089745	211.2989065624967	2.178320746492973e-24	5914014.86385904	39.364872	47365.686445	A	X	F1e	0	4	4.5	B	F1e	1	5	5.5	rR1(4.5)
211.2323272245992	211.29923184037645	2.3665148994401058e-24	5782565.60588669	39.323877	47365.572595	A	X	F2f	0	4	3.5	B	F2f	1	5	4.5	rR2(3.5)
211.23251022051946	211.29941487240933	5.378424317611922e-26	131421.604067203	39.364872	47365.572595	A	X	F1e	0	4	4.5	B	F2f	1	5	4.5	rQ21(4.5)
211.24007989123388	211.30698603697968	2.5187456392874374e-24	5781929.03197107	23.62226292	47348.13428	A	X	F1e	0	3	3.5	B	F1e	1	4	4.5	rR1(3.5)
211.24035338977237	211.30725958949415	2.446522539084948e-24	5575409.91317461	23.59037792	47348.04113	A	X	F2f	0	3	2.5	B	F2f	1	4	3.5	rR2(2.5)
211.24049573071844	211.3074019585318	9.061170169192888e-26	206496.246067831	23.62226292	47348.04113	A	X	F1e	0	3	3.5	B	F2f	1	4	3.5	rQ21(3.5)
211.25006383532758	211.3169719515211	2.341329174675875e-24	5574641.19246678	11.81363648	47334.0893044	A	X	F1e	0	2	2.5	B	F1e	1	3	3.5	rR1(2.5)
211.25028561481804	211.31719377478413	1.808759428296117e-24	5202982.06129086	11.79086148	47334.0168544	A	X	F2f	0	2	1.5	B	F2f	1	3	2.5	rR2(1.5)
211.2503872964612	211.3172954764962	1.291968533040369e-25	371641.039221452	11.81363648	47334.0168544	A	X	F1e	0	2	2.5	B	F2f	1	3	2.5	rQ21(2.5)
211.26195292178082	211.32886338463297	1.3311290259273789e-24	5202120.18066074	3.93944772	47323.5523006	A	X	F1e	0	1	1.5	B	F1e	1	2	2.5	rR1(1.5)
211.26212297553633	211.3290334719552	8.118645279009406e-25	4335089.68329531	3.92578272	47323.5005506	A	X	F2f	0	1	0.5	B	F2f	1	2	1.5	rR2(0.5)
211.26218399134595	211.3290944998087	1.623727180193482e-25	867017.185524034	3.93944772	47323.5005506	A	X	F1e	0	1	1.5	B	F2f	1	2	1.5	rQ21(1.5)
211.27574652784483	211.34265971355268	5.922002859564844e-25	4334251.2273354	0	47316.5238554	A	X	F1e	0	0	0.5	B	F1e	1	1	1.5	rR1(0.5)
211.27588518762292	211.3427984007037	3.008620248334352e-25	4334242.69468752	0	47316.4928054	A	X	F1e	0	0	0.5	B	F2f	1	1	0.5	rQ21(0.5)
211.30900006648503	211.37591981769143	1.9205118061468598e-25	4332205.55961853	3.92578272	47313.00436	A	X	F2f	0	1	0.5	B	F1e	1	0	0.5	pQ12(0.5)
211.30906110936758	211.3759808726277	3.8410191744507924e-25	8664403.61121868	3.93944772	47313.00436	A	X	F1e	0	1	1.5	B	F1e	1	0	0.5	pP1(1.5)
211.32841398687202	211.39533757193564	1.1832204443094437e-25	866202.372572833	11.79086148	47316.5238554	A	X	F2f	0	2	1.5	B	F1e	1	1	1.5	pQ12(1.5)
211.32851574371884	211.395439348879	1.0648963490863686e-24	7795810.09319896	11.81363648	47316.5238554	A	X	F1e	0	2	2.5	B	F1e	1	1	1.5	pP1(2.5)
211.32855271576986	211.3954763282318	6.011244960670404e-25	8662006.66893656	11.79086148	47316.4928054	A	X	F2f	0	2	1.5	B	F2f	1	1	0.5	pP2(1.5)
211.34973288452414	211.41666068033493	9.492280237340805e-26	371117.274905829	23.59037792	47323.5523006	A	X	F2f	0	3	2.5	B	F1e	1	2	2.5	pQ12(2.5)
211.3498753728731	211.41680319682956	1.898450928461094e-24	7422330.48787237	23.62226292	47323.5523006	A	X	F1e	0	3	3.5	B	F1e	1	2	2.5	pP1(3.5)
211.3499641460941	211.41689198758584	1.4589284810042578e-24	7793437.19300666	23.59037792	47323.5005506	A	X	F2f	0	3	2.5	B	F2f	1	2	1.5	pP2(2.5)
211.3729576258017	211.43989000961506	8.65144261202792e-26	206108.318140431	39.323877	47334.0893044	A	X	F2f	0	4	3.5	B	F1e	1	3	3.5	pQ12(3.5)
211.37314086539612	211.44007328541156	3.0279944155510786e-24	7213772.37623586	39.364872	47334.0893044	A	X	F1e	0	4	4.5	B	F1e	1	3	3.5	pP1(4.5)
211.37328146328053	211.4402139110735	2.5779337304047212e-24	7419865.35387644	39.323877	47334.0168544	A	X	F2f	0	4	3.5	B	F2f	1	3	2.5	pP2(3.5)
211.3980893765253	211.4650267260387	5.707328246069715e-26	131113.071710455	58.990752	47348.13428	A	X	F2f	0	5	4.5	B	F1e	1	4	4.5	pQ12(4.5)
211.39831338931714	211.46525078309705	3.0819441910024513e-24	7080083.36730512	59.040857	47348.13428	A	X	F1e	0	5	5.5	B	F1e	1	4	4.5	pP1(5.5)
211.39850583816693	211.46544326997608	3.1619394138241092e-24	7211176.33025261	58.990752	47348.04113	A	X	F2f	0	5	4.5	B	F2f	1	4	3.5	pP2(4.5)
211.4251296023458	211.492072295775	3.339035982331524e-26	90735.7693787657	82.59024452	47365.686445	A	X	F2f	0	6	5.5	B	F1e	1	5	5.5	pQ12(5.5)
211.4253944124992	211.49233715826816	2.571044826959847e-24	6986627.9929821	82.64945952	47365.686445	A	X	F1e	0	6	6.5	B	F1e	1	5	5.5	pP1(6.5)
211.4256387414287	211.49258153548945	2.893752915261011e-24	7077338.88805706	82.59024452	47365.572595	A	X	F2f	0	6	5.5	B	F2f	1	5	4.5	pP2(5.5)
211.4540800691803	211.52102848533605	1.6479989580079851e-26	66512.2411335702	110.12144448	47386.7448214	A	X	F2f	0	7	6.5	B	F1e	1	6	6.5	pQ12(6.5)
211.454385703076	211.52133417965442	1.7139090084078362e-24	6917243.08704384	110.18976948	47386.7448214	A	X	F1e	0	7	7.5	B	F1e	1	6	6.5	pP1(7.5)
211.4546819440176	211.52163047916193	2.133268143953872e-24	6983725.69131206	110.12144448	47386.6102714	A	X	F2f	0	7	6.5	B	F2f	1	6	5.5	pP2(6.5)
211.48494284371682	211.5518973620813	7.719157325643476e-27	50840.0403704272	141.58329012	47411.3082356	A	X	F2f	0	8	7.5	B	F1e	1	7	7.5	pQ12(7.5)
211.4852893299569	211.55224391683757	1.0420794105955337e-24	6863371.72015642	141.66072512	47411.3082356	A	X	F1e	0	8	8.5	B	F1e	1	7	7.5	pP1(8.5)
211.48563751766693	211.55259217340026	1.5419459374456653e-24	6914177.36433624	141.58329012	47411.1529856	A	X	F2f	0	8	7.5	B	F2f	1	7	6.5	pP2(7.5)
211.51772029398535	211.5846812947894	3.1237010334871657e-27	40118.2198752098	176.974568	47439.3753184	A	X	F2f	0	9	8.5	B	F1e	1	8	8.5	pQ12(8.5)
211.51810766339958	211.5850687408244	5.310252861067584e-25	6820059.91279341	177.061113	47439.3753184	A	X	F1e	0	9	9.5	B	F1e	1	8	8.5	pP1(9.5)
211.51850783546485	211.58546899204302	8.69662062214721e-25	6860138.98064602	176.974568	47439.1993684	A	X	F2f	0	9	8.5	B	F2f	1	8	7.5	pP2(8.5)
211.55241508999848	211.61938295429817	1.165620502531121e-27	32460.6800950272	216.293913	47470.944505	A	X	F2f	0	10	9.5	B	F1e	1	9	9.5	pQ12(9.5)
211.55284337564984	211.61981132468708	2.436127124915588e-25	6784240.94079225	216.389568	47470.944505	A	X	F1e	0	10	10.5	B	F1e	1	9	9.5	pP1(10.5)
211.5532955724962	211.62026361100214	4.470662298480649e-25	6816657.71678299	216.293913	47470.747855	A	X	F2f	0	10	9.5	B	F2f	1	9	8.5	pP2(9.5)
213.74247618508235	213.80988105524315	5.180631537647674e-26	5134332.63318046	2293.0378054	49063.56099472	A	X	F1e	1	7	7.5	B	F1e	2	8	8.5	rR1(7.5)
213.74291964332664	213.81032460270274	8.469672139534493e-26	5091514.84087695	2292.9699304	49063.39609472	A	X	F2f	1	7	6.5	B	F2f	2	8	7.5	rR2(6.5)
213.743140657478	213.81054566131795	2.3209490621328422e-26	5168062.94401632	2324.2045096	49094.582318	A	X	F1e	1	8	8.5	B	F1e	2	9	9.5	rR1(8.5)
213.74322987094268	213.81063489273072	7.117330229929064e-28	42785.6527219842	2293.0378054	49063.39609472	A	X	F1e	1	7	7.5	B	F2f	2	8	7.5	rQ21(7.5)
213.74363142414126	213.81103652671445	4.2096090638993044e-26	5134249.39319083	2324.1275846	49094.398018	A	X	F2f	1	8	7.5	B	F2f	2	9	8.5	rR2(7.5)
