State	Vibr.	J	Energy	Index
X	4	16.5	9067.60252224	404
X	4	16.5	9131.62066596	405
X	4	17.5	9131.77344096	406
X	4	17.5	9199.54125504	409
X	4	18.5	9199.70276004	410
X	4	18.5	9271.217484	412
X	4	19.5	9271.387719	413
X	4	19.5	9346.646439	416
X	4	20.5	9346.825404	417
X	5	0.5	10616.215	458
X	5	0.5	10619.9498102	459
X	5	1.5	10619.9626802	460
X	5	1.5	10627.4321458	461
X	5	2.5	10627.4535958	462
X	5	2.5	10638.6574072	463
X	5	3.5	10638.6874372	464
X	5	3.5	10653.62513	465
X	5	4.5	10653.66374	466
X	5	4.5	10672.334695	469
X	5	5.5	10672.381885	470
X	5	5.5	10694.7853282	471
X	5	6.5	10694.8410982	472
X	5	6.5	10720.9761008	473
X	5	7.5	10721.0404508	474
X	5	7.5	10750.9059292	477
X	5	8.5	10750.9788592	478
X	5	8.5	10784.573575	479
X	5	9.5	10784.655085	480
X	5	9.5	10821.977645	483
X	5	10.5	10822.067735	484
X	5	10.5	10863.1165912	485
X	5	11.5	10863.2152612	486
X	5	11.5	10907.9887108	487
X	5	12.5	10908.0959608	488
X	5	12.5	10956.5921462	493
X	5	13.5	10956.7079762	494
X	5	13.5	11008.924885	495
X	5	14.5	11009.049295	496
X	5	14.5	11064.98476	499
X	5	15.5	11065.11775	500
X	5	15.5	11124.7694492	503
X	5	16.5	11124.9110192	504
X	5	16.5	11188.2764758	505
X	5	17.5	11188.4266258	506
X	5	17.5	11255.5032082	509
X	5	18.5	11255.6619382	510
X	5	18.5	11326.44686	512
X	5	19.5	11326.61417	513
X	5	19.5	11401.10449	516
X	5	20.5	11401.28038	517
X	6	0.5	12648.3869	558
X	6	0.5	12652.08322628	559
X	6	1.5	12652.09584128	560
X	6	1.5	12659.48833952	561
X	6	2.5	12659.50936452	562
X	6	2.5	12670.59772608	563
X	6	3.5	12670.62716108	564
X	6	3.5	12685.410923	565
X	6	4.5	12685.448768	566
X	6	4.5	12703.927313	567
X	6	5.5	12703.973568	568
X	6	5.5	12726.14612448	571
X	6	6.5	12726.20078948	572
X	6	6.5	12752.06643152	573
X	6	7.5	12752.12950652	574
X	6	7.5	12781.68715388	575
X	6	8.5	12781.75863888	576
X	6	8.5	12815.007057	579
X	6	9.5	12815.086952	580
X	6	9.5	12852.024752	583
X	6	10.5	12852.113057	584
X	6	10.5	12892.73869568	585
X	6	11.5	12892.83541068	586
X	6	11.5	12937.14719052	587
X	6	12.5	12937.25231552	588
X	6	12.5	12985.24838468	593
X	6	13.5	12985.36191968	594
X	6	13.5	13037.040272	595
X	6	14.5	13037.162217	596
X	6	14.5	13092.520692	597
X	6	15.5	13092.651047	598
X	6	15.5	13151.68732988	603
X	6	16.5	13151.82609488	604
X	6	16.5	13214.53771652	605
X	6	17.5	13214.68489152	606
X	6	17.5	13281.06922848	609
X	6	18.5	13281.22481348	610
X	6	18.5	13351.279088	612
X	6	19.5	13351.443083	613
X	6	19.5	13425.164363	616
X	6	20.5	13425.336768	617
X	7	0.5	14650.1708	658
X	7	0.5	14653.82858992	659
X	7	1.5	14653.84088992	660
X	7	1.5	14661.15631328	661
X	7	2.5	14661.17681328	662
X	7	2.5	14672.14955712	663
X	7	3.5	14672.17825712	664
X	7	3.5	14686.807852	665
X	7	4.5	14686.844752	666
X	7	4.5	14705.130572	667
X	7	5.5	14705.175672	668
X	7	5.5	14727.11693472	671
X	7	6.5	14727.17023472	672
X	7	6.5	14752.76600128	673
X	7	7.5	14752.82750128	674
X	7	7.5	14782.07667632	675
X	7	8.5	14782.14637632	676
X	7	8.5	14815.047708	679
X	7	9.5	14815.125608	680
X	7	9.5	14851.677688	683
X	7	10.5	14851.763788	684
X	7	10.5	14891.96505152	685
X	7	11.5	14892.05935152	686
X	7	11.5	14935.90807728	687
X	7	12.5	14936.01057728	688
X	7	12.5	14983.50488752	693
X	7	13.5	14983.61558752	694
X	7	13.5	15034.753448	695
X	7	14.5	15034.872348	696
X	7	14.5	15089.651568	697
X	7	15.5	15089.778668	698
X	7	15.5	15148.19690032	701
X	7	16.5	15148.33220032	702
X	7	16.5	15210.38694128	705
X	7	17.5	15210.53044128	706
X	7	17.5	15276.21903072	709
X	7	18.5	15276.37073072	710
X	7	18.5	15345.690352	711
X	7	19.5	15345.850252	712
X	7	19.5	15418.797932	716
X	7	20.5	15418.966032	717
X	8	0.5	16621.5534	756
