State	Vibr.	J	Energy	Index
Pi	1	9.5	22032.5446802499	132
Pi	1	9.5	22032.5518172729	133
Pi	1	4.5	22043.0357346602	134
Pi	1	4.5	22043.0976365407	135
Pi	1	5.5	22060.3997098311	136
Pi	1	5.5	22060.4735097163	137
Pi	1	10.5	22064.8808181335	138
Pi	1	10.5	22064.8902664214	139
Pi	1	6.5	22080.9188806871	140
Pi	1	6.5	22081.0043210931	141
Pi	1	7.5	22104.5917320568	142
Pi	1	7.5	22104.6885171131	143
Pi	1	8.5	22131.4165236805	144
Pi	1	8.5	22131.5243210525	145
Pi	1	9.5	22161.3912947501	146
Pi	1	9.5	22161.5097377271	147
Pi	2	1.5	23392.665272792	150
Pi	2	1.5	23392.665319027	151
Pi	2	2.5	23400.2733437065	152
Pi	2	2.5	23400.2735283235	153
Pi	2	3.5	23410.924314262	154
Pi	2	3.5	23410.9247746795	155
Pi	2	4.5	23424.6178716778	156
Pi	2	4.5	23424.6187896426	157
Pi	2	5.5	23441.3536166465	158
Pi	2	5.5	23441.3552170044	159
Pi	2	6.5	23461.1310605038	160
Pi	2	6.5	23461.1336097094	161
Pi	2	7.5	23483.9496218545	162
Pi	2	7.5	23483.9534262475	163
Pi	2	8.5	23509.8086227215	164
Pi	2	8.5	23509.8140266015	165
Pi	2	0.5	23513.07040428	166
Pi	2	0.5	23513.08222428	167
Pi	2	1.5	23517.743728208	168
Pi	2	1.5	23517.7673219729	169
Pi	2	2.5	23525.5361780935	170
Pi	2	2.5	23525.5714534765	171
Pi	2	3.5	23536.447186818	172
Pi	2	3.5	23536.4940064005	173
Pi	2	9.5	23538.7072842929	174
Pi	2	9.5	23538.7146678258	175
Pi	2	4.5	23550.4759533222	176
Pi	2	4.5	23550.5341353574	177
Pi	2	5.5	23567.6214448335	178
Pi	2	5.5	23567.6907644756	179
Pi	2	10.5	23570.6447223453	180
Pi	2	10.5	23570.6544993368	181
Pi	2	6.5	23587.8823996962	182
Pi	2	6.5	23587.9625904906	183
Pi	2	7.5	23611.2573307455	184
Pi	2	7.5	23611.3480863525	185
Pi	2	8.5	23637.7445291585	186
Pi	2	8.5	23637.8455052785	187
Pi	2	9.5	23667.3420687071	188
Pi	2	9.5	23667.4528851742	189
Pi	3	1.5	24873.8101238294	192
Pi	3	1.5	24873.8101652294	193
Pi	3	2.5	24881.3233447568	194
Pi	3	2.5	24881.3235100756	195
Pi	3	3.5	24891.8415193602	196
Pi	3	3.5	24891.8419316782	197
Pi	3	4.5	24905.3643271012	198
Pi	3	4.5	24905.3651492392	199
Pi	3	5.5	24921.8913582365	200
Pi	3	5.5	24921.8927916847	201
Pi	3	6.5	24941.4221111646	202
Pi	3	6.5	24941.4243947835	203
Pi	3	7.5	24963.9559892639	204
Pi	3	7.5	24963.9593977805	205
Pi	3	8.5	24989.4922972817	206
Pi	3	8.5	24989.4971396077	207
Pi	3	0.5	24994.17195256	208
Pi	3	0.5	24994.18221056	209
Pi	3	1.5	24998.7863337706	210
Pi	3	1.5	24998.8068083706	211
Pi	3	2.5	25006.4800284432	212
Pi	3	2.5	25006.5106371244	213
Pi	3	3.5	25017.2524767998	214
Pi	3	3.5	25017.2930964818	215
Pi	3	9.5	25018.030237344	216
Pi	3	9.5	25018.0368547449	217
Pi	3	4.5	25031.1028888988	218
Pi	3	4.5	25031.1533567608	219
Pi	3	5.5	25048.0302467235	220
Pi	3	5.5	25048.0903612753	221
Pi	3	10.5	25049.568904657	222
Pi	3	10.5	25049.5776688025	223
Pi	3	6.5	25068.0333068354	224
Pi	3	6.5	25068.1028292165	225
Pi	3	7.5	25091.1106035361	226
Pi	3	7.5	25091.1892590195	227
Pi	3	8.5	25117.2604524783	228
Pi	3	8.5	25117.3479321523	229
Pi	3	9.5	25146.480954656	230
Pi	3	9.5	25146.5769172551	231
Pi	4	1.5	26328.1276276459	234
Pi	4	1.5	26328.1276660752	235
Pi	4	2.5	26335.5462371725	236
Pi	4	2.5	26335.5463906416	237
Pi	4	3.5	26345.9319520884	238
Pi	4	3.5	26345.9323348967	239
Pi	4	4.5	26359.284447098	240
Pi	4	4.5	26359.2852105079	241
Pi	4	5.5	26375.6033061556	242
Pi	4	5.5	26375.6046374457	243
Pi	4	6.5	26394.8880199945	244
Pi	4	6.5	26394.8901413092	245
Pi	4	7.5	26417.1379831803	246
